週別,課程主題,課程大綱
第一週7月15日,產業 AI 現狀與 AI 概論,台灣產業 AI 化的今日與明日AI 新時代的起點
第二週7月22日,資料科學與機率統計,資料科學的統計實務資料科學的建模基礎資料科學及大數據的產業運用探索式資料分析與資料視覺化
第三週7月29日,機器學習與演算法概論,機器學系概論非監督式學習方法監督式學習方法學習理論、泛化與特徵重要性
第四週8月5日,深度學習入門,深度學習簡介深度學習實務技巧與前瞻技術對抗式學習入門強化學習入門,第五週8月12日,AI 手把手實作 (Python / ML)AI 平台 (AutoML / MLOps),Python 手把手資料分析實作手把手的機器學習案例與實作AI 平台介紹,第六週8月19日,電腦視覺概論,計算機視覺簡介卷積神經網絡代表性模型應用和最新技術,第七週8月26日,文字探勘與自然語言處理,文字能挖出什麼有價值的資訊如何進行文字探勘自然語言處理技術文字探勘與自然語言處理實務應用,第八週9月2日,AIGC 圖像生成（Midjourney）,幻想與創意 -- AI 生成如何加速視覺溝通Midjourney AI 圖像生成入門AIGC工具綜合應用案例,第九週9月9日,AIGC 文字生成（ChatGPT）,ChatGPT 指南了解 ChatGPT 的 prompt 模板，學會與 AI 溝通ChatGPT 整合到應用,9/16 2023台灣人工智慧年會，停課一次,第十週9月23日,社群媒體&推薦系統,社群分析可以為組織帶來什麼好處?社群數據分析分享關聯式、內容、協同式、深度學習推薦
第四週8月5日,深度學習入門,深度學習簡介深度學習實務技巧與前瞻技術對抗式學習入門強化學習入門
第五週8月12日,AI 手把手實作 (Python / ML)AI 平台 (AutoML / MLOps),Python 手把手資料分析實作手把手的機器學習案例與實作AI 平台介紹
第六週8月19日,電腦視覺概論,計算機視覺簡介卷積神經網絡代表性模型應用和最新技術
第七週8月26日,文字探勘與自然語言處理,文字能挖出什麼有價值的資訊如何進行文字探勘自然語言處理技術文字探勘與自然語言處理實務應用
第八週9月2日,AIGC 圖像生成（Midjourney）,幻想與創意 -- AI 生成如何加速視覺溝通Midjourney AI 圖像生成入門AIGC工具綜合應用案例
第九週9月9日,AIGC 文字生成（ChatGPT）,ChatGPT 指南了解 ChatGPT 的 prompt 模板，學會與 AI 溝通ChatGPT 整合到應用
9/16 2023台灣人工智慧年會，停課一次
9/30 中秋節，停課一次
第十一週10月7日,人工智慧開發環境建置,使用者體驗設計的方法論Web3 、元宇宙的使用者體驗智慧製造＆建立AI 團隊之挑戰
第十二週10月14日,AI 的產業應用-I (智慧金融與服務),人工智慧在金融／服務業的應用數據行銷
第十三週10月21日,AI 的產業應用-III (智慧製造),智慧製造的理論與實務製造生產數據與AI應用
第十四週10月28日,ESG & 金融科技策略 / 結業暨產業創新競賽,ESG & 金融科技策略 / 產業創新競賽 & 結業典禮
