常見問題,回答
如何請假?,若學員因故有請假需求，請填妥請假表單進行申請 https://reurl.cc/xZNOAL校務行政處核可後，系統將會直接寄送請假核可通知至您的信箱中。請假申請審核過後，仍計入缺席時數。本課程無補課機制。
何時會寄發技術領袖全域班入學考試連結?,技術領袖全域班考試連結會於考試前一天17:00前寄發連結並加發簡訊給應考者，線上入學考的連結於考試開始方可登入。
我已完成報名繳費，何時可以收到發票?,"個人用電子發票會於開學後第二週上課日由學務通知領取。
公司報帳用電子發票會於開學後第二週由學務 mail 至學員報名時的電子信箱。
若需提早或延後開立發票，請發信至hi@aiacademy.tw詢問。"
我已過繳費期限?,因原先繳費期限已過期，請發信至 hi@aiacademy.tw 並提供您的姓名及報名時填寫的電子郵件信箱。我們將會重新寄發{報名及註冊的登記已可進行下一步報名作業}信件至您的電子信箱。
我的報名已過期?,因原先報名連結已過期，請發信至 hi@aiacademy.tw 並提供您的姓名及報名時填寫的電子郵件信箱。我們將會重新寄發{報名及註冊的登記已可進行下一步報名作業}信件至您的電子信箱。
我是文科的人，我可以報名你們的課程嗎？,我們非常歡迎不同產業的人進來，希望可以推動不同產業專業的人，能認識AI這些知識。
我要如何申請退費?,"很遺憾您無法與我們一起為接下來的課程努力。
請您發信至hi@aiacademy.tw 提供您的班別跟姓名。 退費的標準，我們會依照學員手冊退費辦法辦理，後續也請提供你您帳號(含分行)資訊(存摺影本)，以利我們後續匯款。謝謝"
為何我未通過技術領袖全域班入學考試?,"謝謝您的來信。很遺憾您未通過技術領袖全域班入學考試。
試題中，選擇題與程式題各佔50分，總分為100分，本期考生的程度都相當好，在參酌其他考生的成績後，我們會擇優錄取。"
為何我未錄取產業專班?,謝謝您的來信。由於報名實在太熱烈及踴躍、報考者都十分優秀，我們能錄取的考生非常有限，不免會有遺珠之憾，對於產業專班，校方希望提供給在職人士進修與推動產業轉型AI機會， 台灣人工智慧學校經理人班審查標準有二： 1. 從事AI相關工作經理人 2. 具備決策權與預算權的經理人 3. 若以上兩者符合，根據職稱高低以及公司產業別排序 非常的可惜未能錄取所有優秀的報考者，我們期待您未來的參與。建議報考者能就近多利用其他分校，希望及歡迎您報名其他分校或再次報考下一梯次的產業專班。
為何我未錄取經理人周末研修班?,謝謝您的來信。由於報名實在太熱烈及踴躍、報考者都十分優秀，我們能錄取的考生非常有限，不免會有遺珠之憾，對於經理人週末研修班，校方希望提供給在職人士進修與推動產業轉型AI機會， 台灣人工智慧學校經理人班審查標準有二： 1. 從事AI相關工作經理人 2. 具備決策權與預算權的經理人 3. 若以上兩者符合，根據職稱高低以及公司產業別排序 非常的可惜未能錄取所有優秀的報考者，我們期待您未來的參與。建議報考者能就近多利用其他分校，希望及歡迎您報名其他分校或再次報考下一梯次的經理人週末研修班。
結業門檻為何？,"智慧醫療專班學員需參與醫療專班創新競賽且缺席時數不超過15小時(含)即可取得結業證書。
產業專班及經理人周末研修班學員需參與 AI 產業創新競賽且缺席時數不超過27小時(含)。"
註冊後，我選擇臨櫃匯款，該匯到哪裡?,"選擇臨櫃匯款者，請匯款至 : 玉山銀行 南港分行 金融機構代碼：808 1182 戶名：財團法人台灣人工智慧學校基金會 帳號：1182-940-016585。
注意 : 選擇臨櫃匯款繳費的學員請務必於匯款完成後來信至 hi@aiacademy.tw 提供您的姓名、報名課別、匯款單或匯款帳號後五碼，以利我們對帳後更新你的註冊狀態。"
想報考技術領袖全域班，請問一下 有考古題嗎?,"我們沒有考古題。入學考目前focus在基礎的Python, 所以不管是坊間的參考書，
或是學校官方網站的建議內容，應該都可以讓學員有能力通過入學考。謝謝"
經理人周末研修班需要考試或審核嗎？怎麼審核？審核標準是什麼?,"參加經理人周末研修班是不需要經過考試。但需要經過審核，審核的標準為 
1. 從事AI相關工作經理人2. 具備決策權與預算權的經理人3. 若以上兩者符合，根據職稱高低排序。"
課程是否需要帶電腦?,課程當中並沒有需要使用到電腦的部(除了工程技術類課程外)，您可以依據自身上課需要攜帶筆電。
請問你們有學費補助嗎？因為我看我們醫院有補助計畫，那如果你們這一期沒有，我是否可以轉下一期？,我們學校沒有提供學費補助，應該是貴醫院單位的補助計畫，可能需要您與貴單位做內部確認，是否能申請院內補助，我本校無權涉入。
請問你們所有課程都有提供午餐嗎？,因為我們的班別有經理人周末研修班、技術領袖全域班、智慧醫療專班和產業專班，目前只有經理人周末研修班/智慧醫療專班和產業專班有提供午餐。
請問您們技術領袖全域班上課幾周? 總時數為?,技術領袖全域班上課約十五周，為每周星期三、星期五和星期六，時間為早上 09:30到下午17:00，總計上課時數約 270小時。技術領袖全域班學員缺席達十分之一上課時數者，不予發給結業證書；您也可以參閱官網 https://aiacademy.tw/的招生訊息內的資訊。
請問您們專題實作班上課幾周? 總時數為?,專題實作班上課五周，為每周星期四和星期五晚間19:00到21:00，星期六時間為早上 09:00到下午17:00，總計上課時數約 46.5小時。您也可以參閱官網 https://aiacademy.tw/的招生訊息內的資訊。
請問您們產業專班上課幾周? 總時數為?,產業專班上課七周，為每周星期五和星期六，時間為早上 09:00-到下午17:30，總計上課時數為 105小時。您也可以參考官網 https://aiacademy.tw/的招生訊息內的資訊。
請問您們智慧醫療專班上課幾周? 總時數為?,智慧醫療專班上課五周，為每星期六，時間為早上 09:30到下午18:00，總計上課時數為 37.5小時。您也可以參考官網 https://aiacademy.tw/的招生訊息內的資訊。
請問您們經理人周末研修班上課幾周? 總時數為?,經理人周末研修班上課十四周，為每周星期六，時間為早上 09:00到下午17:30，總計上課時數約 105小時。經理人週末研修班學員缺席達四分之一上課時數者，不予發給結業證書；您也可以參閱官網 https://aiacademy.tw/的招生訊息內的資訊。
請問智慧醫療專班這門課有要求學員會哪一種程式語言嗎?謝謝,"智慧醫療專班這門課是為了要讓醫學相關領域的專業人士能更快速的掌握人工智慧的知識及資訊，而非專精於程式語言的學習。
因此並無特別需要學會哪一種程式語言。
相關的課程訊息也歡迎您參考：https://aiacademy.tw/curriculum-med/
若還有其他的疑問也歡迎與我們聯繫。"
學員要通過那些門檻才會有結業證書？是否有課綱介紹？,結業門檻等相關行政細節資訊列於學員手冊上，待開學當周會寄發給各位學員。課綱可以先參考官網 https://aiacademy.tw/
